Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range,cleaned_skills
Executive Assistant,Administration,Bachelor's in Business|Administrative Certification,2,Executive Support|Organization|Communication|Discretion|Problem Solving|Leadership Support,55-95K,executive support organization communication discretion problem solving leadership support
Office Manager,Administration,High School|Leadership Experience,2,Office Management|Leadership|Organization|Communication|Problem Solving|Administrative Skills,50-85K,office management leadership organization communication problem solving administrative skill
Receptionist,Administration,High School,0,Customer Service|Communication|Organization|Phone Skills|Computer Skills|Friendliness,30-55K,customer service communication organization phone skill computer skill friendliness
Chief Executive Officer,Private Sector Management,MBA|Master's in Business,10,Strategic Leadership|Vision|Decision Making|Business Acumen|Communication|Executive Management,200-500K,strategic leadership vision decision making business acumen communication executive management
COO,Private Sector Management,MBA|Master's in Business,10,Operations Management|Strategic Thinking|Leadership|Business Operations|Decision Making|Communication,180-400K,operation management strategic thinking leadership business operation decision making communication
Vice President,Private Sector Management,Master's in Business|MBA,7,Strategic Leadership|Department Management|Business Development|Decision Making|Communication|Vision,140-300K,strategic leadership department management business development decision making communication vision
General Manager,Private Sector Management,Bachelor's in Business|Master's in Business,5,Business Management|Leadership|P&L Responsibility|Strategic Planning|Decision Making|Communication,90-170K,business management leadership pl responsibility strategic planning decision making communication
Government Analyst,Government & Public Service,Bachelor's in Political Science|Bachelor's in Public Administration,1,Policy Analysis|Research|Writing|Data Analysis|Government Knowledge|Communication,55-95K,policy analysis research writing data analysis government knowledge communication
Public Administrator,Government & Public Service,Master's in Public Administration|MPA,2,Public Administration|Leadership|Policy Knowledge|Budget Management|Strategic Planning|Communication,65-120K,public administration leadership policy knowledge budget management strategic planning communication
Policy Advisor,Government & Public Service,Master's in Public Policy|Master's in Relevant Field,3,Policy Expertise|Analysis|Writing|Research|Strategic Thinking|Communication,75-140K,policy expertise analysis writing research strategic thinking communication
Electrical Utilities Manager,Energy & Utilities,Bachelor's in Electrical Engineering|Engineering License,3,Electrical Systems|Management|Safety|Regulatory Knowledge|Problem Solving|Leadership,85-145K,electrical system management safety regulatory knowledge problem solving leadership
Water Treatment Operator,Energy & Utilities,Certificate in Water Treatment|High School,1,Water Treatment|Equipment Operation|Safety|Testing|Compliance|Maintenance,50-85K,water treatment equipment operation safety testing compliance maintenance
Safety Engineer,Energy & Utilities,Bachelor's in Safety Engineering|Safety Certification,2,Safety Management|Risk Assessment|Regulatory Knowledge|Problem Solving|Communication|Leadership,70-130K,safety management risk assessment regulatory knowledge problem solving communication leadership
Agricultural Engineer,Agriculture & Food,Bachelor's in Agricultural Engineering,2,Agricultural Systems|Equipment Design|Problem Solving|Technical Knowledge|Sustainability|Analysis,60-115K,agricultural system equipment design problem solving technical knowledge sustainability analysis
Food Scientist,Agriculture & Food,Bachelor's in Food Science|Master's in Food Science,2,Food Science|Research|Testing|Quality Control|Problem Solving|Technical Knowledge,65-125K,food science research testing quality control problem solving technical knowledge
Nutritionist,Agriculture & Food,Bachelor's in Nutrition|Nutritionist Certification,1,Nutrition Science|Meal Planning|Client Communication|Research|Health Knowledge|Counseling,55-100K,nutrition science meal planning client communication research health knowledge counseling
Chef,Agriculture & Food,Culinary School|Culinary Certification,1,Cooking|Recipe Development|Kitchen Management|Creativity|Food Safety|Time Management,50-100K,cooking recipe development kitchen management creativity food safety time management
Restaurant Manager,Agriculture & Food,High School|Management Experience,2,Restaurant Management|Leadership|Customer Service|Financial Management|Staff Management|Communication,50-90K,restaurant management leadership customer service financial management staff management communication
Hotel Manager,Hospitality & Tourism,Bachelor's in Hospitality Management,3,Hotel Management|Leadership|Customer Service|Budget Control|Staff Management|Communication,60-110K,hotel management leadership customer service budget control staff management communication
Event Coordinator,Hospitality & Tourism,Associate in Event Planning|Certification,1,Event Planning|Organization|Communication|Problem Solving|Vendor Management|Budget Management,45-85K,event planning organization communication problem solving vendor management budget management
Travel Agent,Hospitality & Tourism,High School|Travel Industry Certification,0,Travel Knowledge|Customer Service|Sales|Computer Skills|Organization|Communication,35-70K,travel knowledge customer service sale computer skill organization communication
Tour Guide,Hospitality & Tourism,High School|Language Skills,0,Communication|Regional Knowledge|Customer Service|Cultural Sensitivity|Problem Solving|Enthusiasm,30-60K,communication regional knowledge customer service cultural sensitivity problem solving enthusiasm
Sports Manager,Sports & Recreation,Bachelor's in Sports Management,2,Sports Management|Leadership|Marketing|Financial Management|Problem Solving|Communication,60-120K,sport management leadership marketing financial management problem solving communication
Coach,Sports & Recreation,Bachelor's in Physical Education|Coaching Certification,1,Athletic Knowledge|Coaching|Leadership|Communication|Motivation|Training Program Design,40-90K,athletic knowledge coaching leadership communication motivation training program design
Personal Trainer,Sports & Recreation,Personal Training Certification|High School,0,Fitness Knowledge|Training Program Design|Motivation|Communication|Anatomy|Problem Solving,35-80K,fitness knowledge training program design motivation communication anatomy problem solving
Fitness Manager,Sports & Recreation,Associate in Fitness Management|High School,2,Fitness Industry Knowledge|Management|Customer Service|Sales|Leadership|Communication,50-90K,fitness industry knowledge management customer service sale leadership communication
Truck Driver,Transportation & Logistics,High School|Commercial Driver's License,0,Driving|Safety|Route Planning|Vehicle Maintenance|Time Management|Responsibility,40-70K,driving safety route planning vehicle maintenance time management responsibility
Delivery Driver,Transportation & Logistics,High School|Driver's License,0,Driving|Customer Service|Organization|Time Management|Safety|Communication,35-65K,driving customer service organization time management safety communication
Fleet Manager,Transportation & Logistics,High School|Management Experience,3,Fleet Management|Maintenance|Safety|Cost Management|Leadership|Problem Solving,60-110K,fleet management maintenance safety cost management leadership problem solving
Pilot,Transportation & Logistics,Commercial Pilot License|Training,2,Flying|Navigation|Safety|Technical Knowledge|Decision Making|Responsibility,100-200K,flying navigation safety technical knowledge decision making responsibility
Social Worker,Human Services & Social Work,Master's in Social Work|MSW License,1,Case Management|Counseling|Problem Solving|Communication|Empathy|Crisis Intervention,45-85K,case management counseling problem solving communication empathy crisis intervention
Counselor,Human Services & Social Work,Master's in Counseling|Licensing Credentials,1,Counseling|Active Listening|Problem Solving|Empathy|Communication|Treatment Planning,50-95K,counseling active listening problem solving empathy communication treatment planning
Community Outreach Coordinator,Human Services & Social Work,Bachelor's in Social Work|Bachelor's in Communications,1,Community Engagement|Program Management|Communication|Organization|Problem Solving|Cultural Sensitivity,45-80K,community engagement program management communication organization problem solving cultural sensitivity
Grant Writer,Non-profit & Charity,Bachelor's in Writing|Grant Writing Certification,1,Grant Writing|Research|Communication|Organization|Problem Solving|Fundraising Knowledge,50-90K,grant writing research communication organization problem solving fundraising knowledge
Non-profit Director,Non-profit & Charity,Master's in Non-profit Management|Master's in Business,5,Non-profit Leadership|Fundraising|Strategic Planning|Budget Management|Communication|Vision,70-130K,nonprofit leadership fundraising strategic planning budget management communication vision
Fundraiser,Non-profit & Charity,Bachelor's in Communications|Fundraising Certification,1,Fundraising|Relationship Building|Communication|Sales|Problem Solving|Event Planning,50-100K,fundraising relationship building communication sale problem solving event planning
Environmental Scientist,Environmental,Bachelor's in Environmental Science|Master's in Environmental Science,1,Environmental Science|Research|Analysis|Problem Solving|Technical Knowledge|Sustainability,60-120K,environmental science research analysis problem solving technical knowledge sustainability
Sustainability Consultant,Environmental,Bachelor's in Environmental Science|MBA,2,Sustainability Strategy|Environmental Knowledge|Business Acumen|Communication|Problem Solving|Analysis,70-140K,sustainability strategy environmental knowledge business acumen communication problem solving analysis
Content Creator,Media Production,High School|Digital Media Skills,0,Content Creation|Social Media|Video Production|Creativity|Communication|Technical Skills,30-80K,content creation social medium video production creativity communication technical skill
Social Media Content Creator,Media Production,High School|Social Media Certification,0,Social Media|Content Creation|Photography/Videography|Analytics|Creativity|Communication,35-85K,social medium content creation photography videography analytics creativity communication
Videographer,Media Production,Associate in Videography|Certification,1,Video Shooting|Editing|Lighting|Storytelling|Technical Skills|Creativity,45-95K,video shooting editing lighting storytelling technical skill creativity
Blockchain Developer,Technology,Bachelor's in Computer Science|Blockchain Certification,2,Solidity|Cryptocurrency|Smart Contracts|Blockchain Technology|Python|Problem Solving,100-200K,solidity cryptocurrency smart contract blockchain technology python problem solving
AI/ML Specialist,Technology,Master's in AI|Master's in Machine Learning,2,Artificial Intelligence|Deep Learning|Python|TensorFlow|Research|Problem Solving,110-200K,artificial intelligence deep learning python tensorflow research problem solving
IoT Engineer,Technology,Bachelor's in Electronics|Bachelor's in Computer Engineering,2,IoT Technology|Embedded Systems|Networking|C/C++|Sensors|System Design,85-150K,iot technology embedded system networking c c sensor system design
AR/VR Developer,Technology,Bachelor's in Computer Science|Specialized Training,2,Unity|Unreal Engine|C#|3D Graphics|AR/VR Platforms|Problem Solving,90-160K,unity unreal engine c graphic ar vr platform problem solving
DevSecOps Engineer,Technology,Bachelor's in Computer Science|Security Certification,3,DevOps|Security|CI/CD|Container Security|Compliance|Linux,110-180K,devops security ci cd container security compliance linux
Solution Architect,Technology,Master's in Computer Science|Architecture Certification,5,Solution Design|System Architecture|Technical Expertise|Communication|Business Acumen|Leadership,120-200K,solution design system architecture technical expertise communication business acumen leadership
Enterprise Architect,Technology,Master's in Computer Science|Enterprise Architecture Certification,7,Enterprise Architecture|Strategic Design|Leadership|Communication|Technical Expertise|Vision,140-240K,enterprise architecture strategic design leadership communication technical expertise vision
React Developer,Technology,Bachelor's in Computer Science|Bootcamp,1,JavaScript|React|CSS|HTML|Redux|API Integration,65-120K,javascript react cs html redux api integration
Vue Developer,Technology,Bachelor's in Computer Science,1,JavaScript|Vue.js|CSS|HTML|Vuex|API Integration,60-115K,javascript vuejs cs html vuex api integration
Angular Developer,Technology,Bachelor's in Computer Science,2,JavaScript|Angular|TypeScript|CSS|RxJS|API Integration,70-130K,javascript angular typescript cs rxjs api integration
PHP Developer,Technology,Bachelor's in Computer Science,1,PHP|Laravel|Symfony|MySQL|API Development|HTML/CSS,55-105K,php laravel symfony mysql api development html cs
Python Developer,Technology,Bachelor's in Computer Science,1,Python|Django|Flask|SQL|REST API|Problem Solving,65-120K,python django flask sql rest api problem solving
Ruby Developer,Technology,Bachelor's in Computer Science,1,Ruby|Ruby on Rails|SQL|HTML/CSS|API Development|Problem Solving,65-125K,ruby ruby rail sql html cs api development problem solving
Go Developer,Technology,Bachelor's in Computer Science,2,Go|Microservices|API Development|Concurrency|Docker|Problem Solving,80-140K,go microservices api development concurrency docker problem solving
Rust Developer,Technology,Bachelor's in Computer Science,2,Rust|System Programming|Memory Safety|Cargo|Problem Solving|Performance Optimization,85-150K,rust system programming memory safety cargo problem solving performance optimization
Java Backend Developer,Technology,Bachelor's in Computer Science,2,Java|Spring Boot|SQL|REST API|Microservices|Maven,75-135K,java spring boot sql rest api microservices maven
C++ Developer,Technology,Bachelor's in Computer Science,2,C++|System Programming|Memory Management|Problem Solving|Debugging|Performance,75-135K,c system programming memory management problem solving debugging performance
C# Developer,Technology,Bachelor's in Computer Science,1,C#|.NET Framework|SQL|Azure|API Development|LINQ,70-130K,c net framework sql azure api development linq
Scala Developer,Technology,Bachelor's in Computer Science,2,Scala|Functional Programming|Apache Spark|SQL|Problem Solving|Big Data,80-140K,scala functional programming apache spark sql problem solving big data
Perl Developer,Technology,Bachelor's in Computer Science,2,Perl|Text Processing|Scripting|Regular Expressions|Problem Solving|System Administration,70-125K,perl text processing scripting regular expression problem solving system administration
Shell Script Developer,Technology,Bachelor's in Computer Science,1,Shell Scripting|Linux|Automation|Bash|System Administration|Problem Solving,60-110K,shell scripting linux automation bash system administration problem solving
Elixir Developer,Technology,Bachelor's in Computer Science,2,Elixir|Phoenix Framework|Functional Programming|Erlang|Distributed Systems|Problem Solving,80-140K,elixir phoenix framework functional programming erlang distributed system problem solving
Clojure Developer,Technology,Bachelor's in Computer Science,2,Clojure|Functional Programming|Java Interop|LispyScript|Problem Solving|Concurrency,80-140K,clojure functional programming java interop lispyscript problem solving concurrency
Haskell Developer,Technology,Bachelor's in Computer Science,2,Haskell|Functional Programming|Type System|Problem Solving|Concurrency|Lambda Calculus,80-140K,haskell functional programming type system problem solving concurrency lambda calculus
TypeScript Developer,Technology,Bachelor's in Computer Science,1,TypeScript|JavaScript|Node.js|Type Safety|Object-Oriented Design|Problem Solving,70-130K,typescript javascript nodejs type safety objectoriented design problem solving
Kotlin Developer,Technology,Bachelor's in Computer Science,1,Kotlin|Android Development|Java Interop|Coroutines|Problem Solving|Mobile Development,70-130K,kotlin android development java interop coroutines problem solving mobile development
Swift Developer,Technology,Bachelor's in Computer Science,1,Swift|iOS Development|Xcode|UI/UX|Problem Solving|Mobile Development,75-135K,swift io development xcode ui ux problem solving mobile development
R Programmer,Data & Analytics,Bachelor's in Statistics|Bachelor's in Mathematics,1,R|Statistical Analysis|Data Visualization|tidyverse|ggplot2|Problem Solving,65-120K,r statistical analysis data visualization tidyverse ggplot problem solving
MATLAB Developer,Technology,Bachelor's in Engineering|Bachelor's in Physics,1,MATLAB|Numerical Analysis|Signal Processing|Simulink|Problem Solving|Mathematics,70-130K,matlab numerical analysis signal processing simulink problem solving mathematics
Jupyter Developer,Data & Analytics,Bachelor's in Computer Science|Data Science Certificate,1,Jupyter Notebooks|Python|Data Analysis|Visualization|Documentation|Collaboration,65-120K,jupyter notebook python data analysis visualization documentation collaboration
Oracle DBA,Technology,Bachelor's in IT|Oracle Certification,3,Oracle Database|SQL|Database Administration|Performance Tuning|Backup Recovery|Security,80-145K,oracle database sql database administration performance tuning backup recovery security
MongoDB Developer,Technology,Bachelor's in Computer Science,2,MongoDB|NoSQL|JSON|JavaScript|Aggregation|Indexing,75-135K,mongodb nosql json javascript aggregation indexing
Cassandra Developer,Technology,Bachelor's in Computer Science,2,Cassandra|NoSQL|Distributed Systems|CQL|Scalability|Performance,80-145K,cassandra nosql distributed system cql scalability performance
Redis Developer,Technology,Bachelor's in Computer Science,2,Redis|Caching|Data Structures|Pub/Sub|Performance Optimization|Scalability,80-140K,redis caching data structure pub sub performance optimization scalability
Elasticsearch Developer,Technology,Bachelor's in Computer Science,2,Elasticsearch|Search Technology|Analytics|Query DSL|Kibana|Performance,80-140K,elasticsearch search technology analytics query dsl kibana performance
Kafka Developer,Technology,Bachelor's in Computer Science,2,Apache Kafka|Streaming|Event Processing|Distributed Systems|Scalability|Problem Solving,85-150K,apache kafka streaming event processing distributed system scalability problem solving
Spark Developer,Data & Analytics,Bachelor's in Computer Science,2,Apache Spark|Big Data|Python|Scala|Distributed Computing|SQL,85-150K,apache spark big data python scala distributed computing sql
Hadoop Developer,Data & Analytics,Bachelor's in Computer Science,2,Hadoop|HDFS|MapReduce|Big Data|Java|Distributed Computing,85-150K,hadoop hdfs mapreduce big data java distributed computing
Data Warehouse Architect,Data & Analytics,Master's in IT|Data Warehouse Certification,5,Data Warehouse Design|ETL|SQL|Dimensional Modeling|Performance Tuning|Strategic Planning,110-180K,data warehouse design etl sql dimensional modeling performance tuning strategic planning
ETL Developer,Data & Analytics,Bachelor's in IT,2,ETL Tools|SQL|Data Integration|Data Quality|Problem Solving|Performance,70-130K,etl tool sql data integration data quality problem solving performance
Talend Developer,Data & Analytics,Bachelor's in IT,2,Talend|ETL|Data Integration|Java|SQL|Data Quality,75-135K,talend etl data integration java sql data quality
Informatica Developer,Data & Analytics,Bachelor's in IT,2,Informatica|ETL|Data Integration|SQL|Data Quality|Performance Tuning,75-135K,informatica etl data integration sql data quality performance tuning
SAS Programmer,Data & Analytics,Bachelor's in Statistics|SAS Certification,1,SAS|Statistical Analysis|Data Management|Visualization|SQL|Problem Solving,70-130K,sa statistical analysis data management visualization sql problem solving
Power BI Developer,Data & Analytics,Bachelor's in IT,1,Power BI|Data Visualization|DAX|SQL|Excel|Dashboard Development,65-125K,power bi data visualization dax sql excel dashboard development
Looker Developer,Data & Analytics,Bachelor's in IT,2,Looker|Data Visualization|LookML|SQL|Analytics|Dashboard Development,75-135K,looker data visualization lookml sql analytics dashboard development
Qlik Developer,Data & Analytics,Bachelor's in IT,2,Qlik Sense|Qlik View|Data Visualization|SQL|Analytics|Dashboard Development,75-135K,qlik sense qlik view data visualization sql analytics dashboard development
Tableau Specialist,Data & Analytics,Bachelor's in IT|Tableau Certification,1,Tableau|Data Visualization|SQL|Analytics|Dashboard Design|Communication,65-120K,tableau data visualization sql analytics dashboard design communication
Salesforce Developer,Technology,Bachelor's in Computer Science|Salesforce Certification,2,Salesforce|Apex|VisualForce|Lightning|CRM|Problem Solving,80-150K,salesforce apex visualforce lightning crm problem solving
Salesforce Administrator,Technology,Bachelor's in IT|Salesforce Admin Certification,1,Salesforce|Administration|Configuration|User Management|Data Management|Support,60-110K,salesforce administration configuration user management data management support
SAP Developer,Technology,Bachelor's in IT|SAP Certification,2,SAP|ABAP|Enterprise Systems|SQL|Problem Solving|Configuration,85-150K,sap abap enterprise system sql problem solving configuration
Oracle Applications Developer,Technology,Bachelor's in IT|Oracle Certification,2,Oracle Apps|PL/SQL|ERP Systems|SQL|Problem Solving|Configuration,80-145K,oracle apps pl sql erp system sql problem solving configuration
Shopify Developer,Technology,Bachelor's in Computer Science,1,Shopify|Liquid|JavaScript|API Integration|E-commerce|Problem Solving,70-130K,shopify liquid javascript api integration ecommerce problem solving
WordPress Developer,Technology,High School|WordPress Certification,1,WordPress|PHP|JavaScript|CSS|Plugin Development|Theme Development,55-110K,wordpress php javascript cs plugin development theme development
Drupal Developer,Technology,Bachelor's in Computer Science,2,Drupal|PHP|JavaScript|MySQL|Theme Development|Module Development,70-130K,drupal php javascript mysql theme development module development
Magento Developer,Technology,Bachelor's in Computer Science,2,Magento|PHP|JavaScript|E-commerce|MySQL|Problem Solving,75-135K,magento php javascript ecommerce mysql problem solving
Joomla Developer,Technology,Bachelor's in Computer Science,1,Joomla|PHP|JavaScript|CMS|MySQL|Theme Development,60-115K,joomla php javascript cm mysql theme development
Cybersecurity Analyst,Technology,Bachelor's in Cybersecurity|Security+ Certification,1,Threat Analysis|Vulnerability Assessment|Security Systems|Log Analysis|Incident Response|Risk Assessment,70-130K,threat analysis vulnerability assessment security system log analysis incident response risk assessment
Ethical Hacker,Technology,Bachelor's in Cybersecurity|CEH Certification,3,Penetration Testing|Hacking Tools|Networking|Security|Problem Solving|Vulnerability Research,90-160K,penetration testing hacking tool networking security problem solving vulnerability research
SOC Analyst,Technology,Bachelor's in Cybersecurity|Security Certification,1,SIEM|Threat Detection|Incident Response|Log Analysis|Security Protocols|Communication,65-120K,siem threat detection incident response log analysis security protocol communication
Privacy Officer,Technology,Master's in Law|Privacy Certification,3,Privacy Law|GDPR|Compliance|Risk Management|Communication|Strategic Planning,85-150K,privacy law gdpr compliance risk management communication strategic planning
Compliance Officer,Technology,Bachelor's in Business|Compliance Certification,3,Compliance|Regulations|Auditing|Risk Management|Documentation|Communication,80-145K,compliance regulation auditing risk management documentation communication
IT Help Desk Technician,Technology,High School|CompTIA A+ Certification,0,Technical Support|Troubleshooting|Hardware|Software|Customer Service|Communication,35-65K,technical support troubleshooting hardware software customer service communication
IT Field Technician,Technology,High School|IT Certification,1,Hardware Installation|Troubleshooting|Networking|Customer Service|Problem Solving|Documentation,45-80K,hardware installation troubleshooting networking customer service problem solving documentation
Website Administrator,Technology,Bachelor's in IT,1,Website Management|CMS|Server Administration|HTML/CSS|Database Management|Troubleshooting,50-90K,website management cm server administration html cs database management troubleshooting
Technical Writer,Technology,Bachelor's in English|Technical Writing Certification,1,Technical Writing|Documentation|API Documentation|Communication|Organization|Problem Solving,50-100K,technical writing documentation api documentation communication organization problem solving
Solutions Engineer,Technology,Bachelor's in Computer Science|Bachelor's in Engineering,3,Technical Problem Solving|Solution Design|Communication|Customer Relations|Product Knowledge|Presentation,85-155K,technical problem solving solution design communication customer relation product knowledge presentation
Pre-Sales Engineer,Technology,Bachelor's in Computer Science,2,Sales Engineering|Technical Knowledge|Communication|Product Demonstration|Problem Solving|Client Relations,75-140K,sale engineering technical knowledge communication product demonstration problem solving client relation
Technical Account Manager,Technology,Bachelor's in Computer Science,2,Account Management|Technical Knowledge|Communication|Problem Solving|Client Relations|Product Knowledge,75-135K,account management technical knowledge communication problem solving client relation product knowledge
Release Manager,Technology,Bachelor's in IT,3,Release Management|Project Management|Change Control|Documentation|Communication|Problem Solving,80-145K,release management project management change control documentation communication problem solving
IT Project Manager,Technology,Bachelor's in IT|Project Management Certification,3,Project Management|IT Knowledge|Leadership|Budget Control|Communication|Problem Solving,80-145K,project management knowledge leadership budget control communication problem solving
Scrum Master,Technology,Bachelor's in IT|Scrum Master Certification,2,Scrum|Agile|Coaching|Team Leadership|Problem Solving|Communication,75-140K,scrum agile coaching team leadership problem solving communication
Product Owner,Technology,Bachelor's in Business|Scrum Product Owner Certification,2,Product Strategy|Agile|Backlog Management|Communication|Leadership|Business Acumen,80-150K,product strategy agile backlog management communication leadership business acumen
Academic Data Analyst,Data & Analytics,Master's in Data Science|PhD,2,Statistical Analysis|Research|Python|R|Academic Writing|Problem Solving,70-130K,statistical analysis research python r academic writing problem solving
Clinical Data Manager,Healthcare,Master's in Data Management|Bachelor's in Life Sciences,2,Clinical Data|Regulatory Compliance|Database Management|Statistical Analysis|Problem Solving|Attention to Detail,70-130K,clinical data regulatory compliance database management statistical analysis problem solving attention detail
Biomedical Engineer,Engineering & Manufacturing,Bachelor's in Biomedical Engineering,2,Biomedical Systems|Medical Devices|CAD|Problem Solving|Regulatory Knowledge|Technical Design,75-140K,biomedical system medical device cad problem solving regulatory knowledge technical design
Software Test Engineer,Technology,Bachelor's in Computer Science,1,Test Automation|Manual Testing|Problem Solving|Selenium|API Testing|Documentation,55-105K,test automation manual testing problem solving selenium api testing documentation
Performance Tester,Technology,Bachelor's in IT,2,Performance Testing|Load Testing|JMeter|Analysis|Problem Solving|Reporting,70-130K,performance testing load testing jmeter analysis problem solving reporting
Security Tester,Technology,Bachelor's in Cybersecurity,2,Security Testing|Vulnerability Testing|Problem Solving|Security Tools|Risk Assessment|Reporting,75-135K,security testing vulnerability testing problem solving security tool risk assessment reporting
Retail Manager,Retail & Hospitality,High School|Associate in Business,3,Sales Management|Customer Service|Inventory Control|Staff Leadership|Cash Handling|Problem Solving,50-85K,sale management customer service inventory control staff leadership cash handling problem solving
Store Manager,Retail & Hospitality,High School|Leadership,2,Store Management|Sales|Staff Management|Inventory|Customer Relations|Problem Solving,55-90K,store management sale staff management inventory customer relation problem solving
Visual Merchandiser,Retail & Hospitality,High School|Design Knowledge,1,Visual Design|Creativity|Lighting|Arrangement|Sales|Customer Service,40-70K,visual design creativity lighting arrangement sale customer service
Loss Prevention Manager,Retail & Hospitality,High School|Security Training,2,Security|Surveillance|Investigation|Problem Solving|Leadership|Communication,50-85K,security surveillance investigation problem solving leadership communication
Cashier,Retail & Hospitality,High School,0,Cash Handling|Customer Service|Point of Sale|Accuracy|Communication|Friendliness,28-40K,cash handling customer service point sale accuracy communication friendliness
Sales Associate,Retail & Hospitality,High School,0,Sales|Customer Service|Product Knowledge|Communication|Problem Solving|Teamwork,30-50K,sale customer service product knowledge communication problem solving teamwork
Retail Supervisor,Retail & Hospitality,High School|Leadership,2,Supervision|Sales|Customer Service|Inventory|Staff Training|Problem Solving,45-75K,supervision sale customer service inventory staff training problem solving
Electrician,Skilled Trades,Trade School|Apprenticeship,3,Electrical Work|Safety|Problem Solving|Technical Knowledge|Code Knowledge|Troubleshooting,60-100K,electrical work safety problem solving technical knowledge code knowledge troubleshooting
Plumber,Skilled Trades,Trade School|Apprenticeship,3,Plumbing Systems|Safety|Problem Solving|Technical Knowledge|Code Knowledge|Customer Service,55-95K,plumbing system safety problem solving technical knowledge code knowledge customer service
Carpenter,Skilled Trades,Trade School|Apprenticeship,2,Carpentry|Safety|Technical Skills|Problem Solving|Hand Tools|Precision,50-90K,carpentry safety technical skill problem solving hand tool precision
HVAC Technician,Skilled Trades,Trade School|HVAC Certification,2,HVAC Systems|Troubleshooting|Safety|Technical Knowledge|Equipment|Problem Solving,50-90K,hvac system troubleshooting safety technical knowledge equipment problem solving
Welder,Skilled Trades,Trade School|Welding Certification,1,Welding|Safety|Precision|Technical Knowledge|Problem Solving|Physical Stamina,45-80K,welding safety precision technical knowledge problem solving physical stamen
Heavy Equipment Operator,Skilled Trades,High School|Equipment License,1,Equipment Operation|Safety|Problem Solving|Precision|Attention to Detail|Communication,50-85K,equipment operation safety problem solving precision attention detail communication
CNC Machinist,Skilled Trades,Machinist Program|Trade School,2,CNC Machines|Precision|Technical Knowledge|Problem Solving|Safety|Attention to Detail,55-90K,cnc machine precision technical knowledge problem solving safety attention detail
Mechanic,Skilled Trades,Trade School|Certification,2,Vehicle Mechanics|Troubleshooting|Problem Solving|Equipment Knowledge|Safety|Attention to Detail,50-85K,vehicle mechanic troubleshooting problem solving equipment knowledge safety attention detail
Diesel Mechanic,Skilled Trades,Trade School|Diesel Certification,2,Diesel Engines|Troubleshooting|Technical Skills|Safety|Problem Solving|Equipment Knowledge,55-95K,diesel engine troubleshooting technical skill safety problem solving equipment knowledge
Head Chef,Hospitality & Food Service,Culinary School,5,Culinary Skills|Kitchen Management|Leadership|Recipe Development|Food Safety|Creativity,70-130K,culinary skill kitchen management leadership recipe development food safety creativity
Sous Chef,Hospitality & Food Service,Culinary School,3,Culinary Skills|Kitchen Management|Leadership|Training|Food Safety|Creativity,55-90K,culinary skill kitchen management leadership training food safety creativity
Line Cook,Hospitality & Food Service,Culinary School|High School,1,Cooking|Food Safety|Kitchen Skills|Speed|Accuracy|Teamwork,35-55K,cooking food safety kitchen skill speed accuracy teamwork
Pastry Chef,Hospitality & Food Service,Culinary School|Pastry Specialization,2,Baking|Decoration|Creativity|Precision|Food Safety|Time Management,50-85K,baking decoration creativity precision food safety time management
Bartender,Hospitality & Food Service,High School|Bartending Certification,1,Bartending|Customer Service|Communication|Memory|Team Work|Problem Solving,35-65K,bartending customer service communication memory team work problem solving
Server,Hospitality & Food Service,High School,0,Customer Service|Communication|Memory|Organization|Problem Solving|Teamwork,30-50K,customer service communication memory organization problem solving teamwork
Hairstylist,Beauty & Wellness,Beauty School|License,1,Hair Styling|Customer Service|Creativity|Technical Skills|Communication|Precision,35-70K,hair styling customer service creativity technical skill communication precision
Makeup Artist,Beauty & Wellness,Beauty School|Makeup Certification,1,Makeup Application|Creativity|Color Theory|Communication|Technical Skills|Customer Service,40-75K,makeup application creativity color theory communication technical skill customer service
Nail Technician,Beauty & Wellness,Beauty School|License,1,Nail Care|Artistry|Customer Service|Precision|Sanitation|Communication,35-60K,nail care artistry customer service precision sanitation communication
Esthetician,Beauty & Wellness,Esthetics School|License,1,Skincare|Facial Treatment|Customer Service|Product Knowledge|Communication|Technical Skills,40-70K,skincare facial treatment customer service product knowledge communication technical skill
Massage Therapist,Beauty & Wellness,Massage Therapy School|License,1,Massage Therapy|Anatomy|Customer Service|Communication|Problem Solving|Empathy,45-75K,massage therapy anatomy customer service communication problem solving empathy
Farmer,Agriculture,High School|Agriculture Experience,2,Farming|Equipment Operation|Problem Solving|Sustainability|Business Management|Safety,40-80K,farming equipment operation problem solving sustainability business management safety
Farm Manager,Agriculture,Bachelor's in Agriculture|Leadership,3,Farm Management|Crop Knowledge|Equipment|Leadership|Business Acumen|Sustainability,55-100K,farm management crop knowledge equipment leadership business acumen sustainability
Livestock Manager,Agriculture,Agriculture Program|Experience,2,Livestock Care|Health Knowledge|Equipment|Problem Solving|Leadership|Business Skills,50-90K,livestock care health knowledge equipment problem solving leadership business skill
Dairy Manager,Agriculture,Agriculture Program,3,Dairy Operations|Animal Health|Equipment|Quality Control|Leadership|Problem Solving,55-95K,dairy operation animal health equipment quality control leadership problem solving
Park Ranger,Conservation,Bachelor's in Environmental Science,1,Conservation|Public Safety|Environmental Knowledge|Communication|Outdoor Skills|Problem Solving,40-75K,conservation public safety environmental knowledge communication outdoor skill problem solving
